price,year,kilometers,fuel,engine_size
89900,2018,49800,Benzyna,1395
260420,2022,1,Benzyna,1984
159350,2023,1,Benzyna,1984
60500,2015,180390,Diesel,1968
55900,2018,75000,Diesel,1598
89900,2019,141276,Benzyna,1498
19500,2010,354000,Diesel,1598
14900,2004,207000,Benzyna,1598
28500,2011,110975,Benzyna,1390
41900,2014,229500,Benzyna,1395
69900,2017,120200,Benzyna,1395
79900,2019,78000,Benzyna,1498
68019,2018,146615,Diesel,1598
78500,2019,169195,Benzyna,1498
14900,2009,224300,Diesel,1896
4500,2000,370000,Diesel,1896
66900,2018,100858,Diesel,1598
35999,2010,194500,Diesel,1598
7500,2004,298000,Diesel,1896
129900,2019,72000,Benzyna,1984
242900,2023,8,Benzyna,1984
169900,2023,8,Benzyna,1498
67900,2020,180000,Benzyna,1498
124900,2022,6671,Benzyna,1498
89000,2017,170000,Diesel,1968
76800,2014,183200,Benzyna,1984
45900,2013,200000,Diesel,1598
189900,2023,,Benzyna,1984
52900,2017,137900,Diesel,1598
102900,2023,5,Benzyna,999
75900,2019,38700,Benzyna,1498
190900,2023,5,Benzyna,1984
159900,2022,8,Benzyna,1498
197900,2022,1,Benzyna,1984
18200,2004,350000,Diesel,4921
55900,2018,75000,Diesel,1598
117500,2023,1,Benzyna,1498
8900,2006,256499,Diesel,1896
89900,2019,141276,Benzyna,1498
67900,2015,183000,Diesel,1968
59500,2014,169800,Diesel,1968
94587,2017,267608,Diesel,2967
114790,2022,3,Benzyna,999
12300,2007,355000,Diesel,1968
19500,2010,354000,Diesel,1598
14900,2004,207000,Benzyna,1598
113400,2022,3,Benzyna,999
85000,2017,151000,Diesel,1968
113400,2022,3,Benzyna,999
252000,2022,,Benzyna,1984
28500,2011,110975,Benzyna,1390
22900,2009,154000,Benzyna,1390
197900,2023,5,,
54800,2012,212000,Diesel,1968
68880,2016,382000,Diesel,1968
22999,2009,199431,Benzyna,1390
113900,2023,8,Benzyna,999
41900,2014,229500,Benzyna,1395
46900,2012,180000,Benzyna,1798
23900,2011,329500,Diesel,1968
244900,2022,1,Benzyna,1984
19900,2008,230000,Benzyna,1390
69900,2017,120200,Benzyna,1395
126600,2022,5,Benzyna,1498
11700,2006,155381,Benzyna,1984
113900,2022,5,Benzyna,999
98500,2023,5,Benzyna,999
125000,2017,104000,Benzyna,1984
79900,2019,78000,Benzyna,1498
98500,2023,5,Benzyna,999
99500,2023,5,Benzyna,999
101000,2023,5,Benzyna,999
215900,2022,1,Benzyna,1984
123500,2023,5,Benzyna,1498
204900,2019,102000,Diesel,1968
68019,2018,146615,Diesel,1598
148790,2022,1,Benzyna,1498
3800,2002,380000,Diesel,1896
53333,2015,254000,Diesel,1968
27100,2006,368000,Diesel,2460
113400,2022,3,Benzyna,999
154900,2022,5,Benzyna,1498
114790,2022,3,Benzyna,999
113400,2022,3,Benzyna,999
89900,2017,219000,Diesel,1968
7500,2005,195000,Benzyna,1984
45700,2014,218700,Diesel,1968
62900,2017,194000,Diesel,1598
78500,2019,169195,Benzyna,1498
79900,2019,299500,Diesel,1968
194900,2021,45850,Diesel,1968
254900,2022,1,Benzyna,1984
38500,2011,84000,Benzyna,1984
259407,2018,112209,Diesel,2967
154900,2023,1,Benzyna,1498
120700,2022,1,Benzyna,1500
14900,2009,224300,Diesel,1896
182900,2023,1,Benzyna,1984
4500,1997,381000,Diesel,1896
58000,2017,137000,Benzyna,1395
36800,2012,265516,Diesel,1598
4500,2000,370000,Diesel,1896
38500,2011,260000,Diesel,1968
75900,2019,89548,Benzyna,999
99900,2019,90000,Diesel,1968
66900,2018,100858,Diesel,1598
39975,2012,244000,Benzyna,1984
72900,2016,85000,Diesel,1968
258500,2022,1,Diesel,1968
112950,2022,1,Benzyna,1000
117600,2022,1,Benzyna,1000
24999,2007,183048,Benzyna,1390
106200,2022,1,Benzyna,1000
35999,2010,194500,Diesel,1598
75900,2017,120606,Benzyna,1395
247700,2022,1,,
276000,2022,1,Benzyna,1984
332100,2021,53000,Diesel,1968
103888,2018,77220,Benzyna,1498
7500,2004,298000,Diesel,1896
17500,2008,211000,Diesel,1422
109900,2013,245000,Diesel,1968
237900,2022,,Diesel,1968
167900,2022,,Benzyna,1498
129900,2019,72000,Benzyna,1984
289900,2022,8,Benzyna,1968
12500,2005,113696,Diesel,1968
239900,2023,8,Benzyna,1984
209900,2023,1,Benzyna,1498
169900,2023,8,Benzyna,1498
242900,2023,8,Benzyna,1984
74500,2018,79000,Diesel,1968
67900,2020,180000,Benzyna,1498
129000,2012,259000,Diesel,1968
22600,2007,253900,Diesel,1896
114900,2023,1,Benzyna,999
193900,2023,1,Benzyna,1498
196900,2023,1,Benzyna,1498
19900,2007,234000,Diesel,1896
124900,2022,6671,Benzyna,1498
39555,2012,282000,Diesel,1968
116500,2022,8,Benzyna,999
89000,2017,170000,Diesel,1968
194900,2023,1,Benzyna,1498
234000,2023,1,Benzyna,1984
294900,2023,,,
31900,2011,198400,Diesel,1598
98900,2022,,Benzyna,999
172000,2022,1,Benzyna,1984
107777,2019,40870,Benzyna,1498
17700,2008,265463,Diesel,1968
220900,2023,1,Benzyna,1984
112350,2022,5,Benzyna,999
248900,2023,1,Benzyna,1984
244500,2022,1,Diesel,1968
273900,2022,1,,
118500,2022,1,Benzyna,1498
76800,2014,183200,Benzyna,1984
192000,2022,,Benzyna,1984
169900,2022,7,Benzyna,1984
45900,2013,200000,Diesel,1598
165900,2019,169980,Diesel,1968
274990,2022,11500,Benzyna,1984
117900,2023,8,Benzyna,1498
189900,2023,,Benzyna,1984
248700,2022,6,Benzyna,1984
52900,2017,137900,Diesel,1598
15900,2008,151068,Benzyna,1198
72800,2015,91700,Diesel,1968
36900,2011,260000,Diesel,1598
89900,2017,180028,Diesel,1968
48500,2011,202000,Diesel,1968
65999,2016,200000,Diesel,1968
32000,2010,126000,Diesel,1598
230500,2023,1,Benzyna,1984
102900,2023,5,Benzyna,999
322700,2022,1,Benzyna,2000
189900,2023,8,Benzyna,1498
111100,2022,1,Benzyna,1000
196900,2023,1,,
470000,2023,1,Diesel,3000
129900,2018,168500,Diesel,1968
118300,2022,1,Benzyna,999
191000,2023,1,,
44895,2013,261300,Diesel,1968
139900,2018,119000,Benzyna,3600
75900,2019,38700,Benzyna,1498
170968,2019,60261,Benzyna,1984
123000,2018,150600,Diesel,1968
79900,2019,189000,Diesel,1968
275000,2021,7800,Benzyna,1395
33900,2013,207000,Diesel,1598
57900,2017,138000,Diesel,1968
119900,2022,5,Benzyna,1498
151400,2022,5,Benzyna,1498
108200,2022,5,Benzyna,999
139100,2022,5,Benzyna,1498
116300,2022,5,Benzyna,999
137200,2022,5,Benzyna,1498
121600,2022,5,Benzyna,1498
165600,2022,5,Benzyna,1498
142800,2022,5,Benzyna,1498
130300,2022,5,Benzyna,1498
151000,2023,5,Benzyna,1498
112900,2022,8,Benzyna,1498
118500,2022,8,Benzyna,999
190900,2023,5,Benzyna,1984
110600,2022,8,Benzyna,1498
222100,2022,5,Benzyna,1984
217200,2022,5,Benzyna,1984
47800,2011,174644,Diesel,1968
15000,2007,299000,Diesel,1896
39900,2016,200000,Diesel,1560
99900,2019,125000,Diesel,1968
115900,2020,37840,Benzyna,1498
19500,2007,229000,Benzyna,1598
23500,2009,220000,Benzyna,1984
64900,2014,129000,Diesel,1968
94900,2019,128598,Benzyna,1498
280317,2022,8,Benzyna,1984
84900,2015,122053,Diesel,1968
87900,2018,165325,Diesel,1968
9900,2005,263500,Diesel,1896
56578,2011,233000,Diesel,2461
58500,2014,92383,Benzyna,1390
18900,2007,271000,Diesel,1896
89990,2016,219000,Diesel,1968
57900,2016,104000,Benzyna,1395
17777,2009,245125,Diesel,1968
45900,2018,169730,Diesel,1598
132380,2022,1000,Benzyna,1498
219900,2019,155000,Diesel,2967
66000,2018,60000,Benzyna,999
213000,2022,10400,Benzyna,1984
24500,2008,178000,Benzyna,1390
18900,2007,235000,Benzyna,1984
8999,2007,370000,Diesel,1968
21900,2009,173991,Benzyna,1198
67800,2018,141300,Diesel,1968
58800,2020,34765,Diesel,1598
12499,2004,248736,Diesel,1896
25900,2009,196665,Diesel,1598
49900,2013,185000,Benzyna,1390
8900,2003,231541,Diesel,1896
41700,2011,189000,Diesel,1598
16500,2005,280000,Diesel,1896
31900,2009,102600,Benzyna,1390
78900,2017,113500,Diesel,1968
13499,2004,263000,Diesel,1968
45500,2017,189500,Diesel,1968
85900,2017,123360,Diesel,1968
21500,2008,116532,Benzyna,1390
78800,2016,175000,Diesel,1598
45000,2014,133888,Diesel,1598
157932,2019,49900,Benzyna,1984
58600,2015,270000,Diesel,1598
29900,2010,86000,Benzyna,1798
4500,2004,340000,Diesel,1896
109000,2018,28000,Benzyna,1498
84900,2015,189000,Diesel,1968
86900,2021,29900,Benzyna,999
215000,2018,140000,Diesel,2967
16900,2010,139925,Benzyna,1395
128500,2011,295000,Diesel,1968
67500,2019,79500,Benzyna,1498
119000,2021,6200,Benzyna,1498
119900,2018,38000,Diesel,1968
11999,2002,311271,Diesel,1896
48000,2012,270000,Diesel,1968
61377,2015,179165,Diesel,1968
53900,2014,85000,Benzyna,1984
65900,2015,250000,Benzyna,1984
74900,2017,74904,Diesel,1968
134500,2020,31000,Benzyna,1984
59900,2018,172700,Diesel,1598
62600,2018,82000,Benzyna,999
64900,2017,137890,Benzyna,1395
17600,2007,192000,Benzyna,1595
69800,2019,148900,Diesel,1598
5900,2000,295000,Benzyna,1598
85900,2017,142000,Diesel,1968
43900,2014,144100,Benzyna,1390
22900,2010,239000,Diesel,1896
97000,2018,80000,Benzyna,1395
87800,2016,77480,Diesel,1968
55000,2011,203000,Diesel,1968
77900,2016,170000,Benzyna,1395
99500,2019,119000,Diesel,1968
23900,2010,280000,Benzyna,1798
217210,2023,1,Benzyna,1984
59700,2016,101782,Benzyna,1395
18000,2007,47000,Benzyna,2480
38500,2008,295000,Diesel,1900
59900,2017,202000,Diesel,1968
194650,2023,5,Benzyna,1984
225180,2021,16500,Hybryda,1395
251700,2022,6,Benzyna,1984
262700,2022,6,Benzyna,1984
237700,2022,6,Benzyna,1984
114600,2023,5,Benzyna,999
65900,2017,137000,Benzyna,1395
19990,2012,155000,Diesel,1199
24400,2016,119000,Benzyna,999
35900,2011,200000,Benzyna,1798
111946,2022,1,Benzyna,999
111500,2023,5,Benzyna,999
51900,2016,186000,Diesel,1598
66000,2015,156601,Benzyna,1395
50900,2019,230000,Diesel,1968
20900,2010,246957,Diesel,1598
46900,2008,255248,Diesel,2500
45400,2014,212000,Diesel,1968
59900,2005,224753,Diesel,2500
87900,2018,180000,Diesel,1968
9000,2008,413000,Diesel,1896
75800,2017,170000,Diesel,1968
69800,2018,141000,Benzyna,1395
123500,2023,5,Benzyna,1498
101000,2023,5,Benzyna,999
99500,2023,5,Benzyna,999
17900,2006,223000,Diesel,1896
11500,2004,262300,Benzyna,1598
69900,2019,42936,Benzyna,999
14700,2005,443400,Diesel,1896
179900,2019,49400,Diesel,1968
94700,2019,101269,Benzyna,1498
98500,2023,5,Benzyna,999
99900,2020,83000,Diesel,1968
17900,2009,312000,Diesel,1968
139000,2018,51000,Benzyna,1984
44900,2013,130000,Benzyna,1395
124800,2020,58812,Diesel,1968
29990,2009,193000,Benzyna,1390
23900,2006,282000,Benzyna,1781
89799,2018,158100,Diesel,1968
110000,2016,99000,Diesel,1968
300000,2021,24639,Hybryda,1400
36500,2008,190000,Benzyna,1984
97000,2016,193000,Diesel,1968
34999,2012,208500,Diesel,1598
133250,2023,5,Benzyna,1498
12800,2005,216000,Diesel,1896
112299,2020,34000,Benzyna,1498
160900,2022,1,Benzyna,1984
17900,2005,79167,Benzyna,1595
265120,2022,1,Benzyna,1984
274900,2022,,,
39900,2017,132677,Benzyna,999
243610,2023,1,Diesel,1968
75900,2015,160000,Diesel,1968
64500,2010,185000,Benzyna,1984
39900,2009,218354,Diesel,2967
115620,2018,172130,Benzyna,1984
130000,2017,88000,Benzyna,1984
20500,2010,203596,Diesel,1598
52900,2014,231000,Diesel,1968
35900,2011,88663,Diesel,1598
37000,2018,73000,Benzyna,999
269999,2018,82750,Diesel,2967
75000,2019,175000,Diesel,1968
154900,2023,5,Benzyna,1500
45900,2012,239000,Diesel,1968
56900,2020,94000,Benzyna,999
129900,2018,69000,Diesel,1968
49500,2017,228558,Diesel,1968
59999,2015,320000,Diesel,1968
295800,2023,5,,
167900,2023,5,Benzyna,1498
204622,2023,6,Diesel,2000
193786,2023,6,Diesel,2000
79900,2019,75000,Diesel,1598
149000,2018,88400,Benzyna,1984
36000,2014,150000,Benzyna,1798
62433,2015,142000,Benzyna,1395
84900,2015,117000,Diesel,1968
26900,2011,61944,Benzyna,1198
96500,2015,76000,Benzyna,1984
96900,2019,39000,Benzyna,999
49900,2012,388145,Diesel,1968
12500,2005,120000,Benzyna,1390
8000,2005,280000,Diesel,1422
31400,2011,181000,Diesel,1968
32000,2004,273000,Diesel,2967
304900,2023,5,,
65000,2016,130107,Benzyna,1395
56900,2019,50000,Benzyna,999
79900,2017,105599,Benzyna,1798
34999,2012,205000,Benzyna,1390
24900,2006,218000,Diesel,1968
121500,2018,83000,Diesel,1968
244400,2022,1,,
60900,2015,229654,Diesel,1968
24900,2011,185000,Benzyna,1197
148700,2022,3300,Benzyna,1498
199700,2018,216000,Diesel,2967
29900,2008,235456,Benzyna,1984
58900,2014,316000,Diesel,1968
94900,2018,146000,Diesel,1968
73900,2017,199000,Diesel,1968
42000,2013,174000,Diesel,1968
49999,2004,334000,Diesel,2500
28500,2003,327000,Benzyna,4172
45000,2016,140800,Diesel,1598
172000,2022,1,Diesel,1968
104900,2019,98000,Diesel,1968
74900,2016,303045,Diesel,1968
118500,2018,122123,Benzyna,1984
127600,2022,2500,Diesel,1984
53000,2012,344000,Diesel,1968
93900,2019,202202,Diesel,1968
159039,2017,69800,Diesel,1968
18900,2008,330000,Diesel,1896
12888,2011,186100,Benzyna,1198
73000,2015,258000,Diesel,1968
84400,2017,154637,Diesel,1968
34999,2018,92252,Benzyna,999
119400,2022,7620,Benzyna,999
61600,2018,159183,Benzyna,1498
119900,2018,131548,Benzyna,1984
29700,2008,310000,Diesel,1968
233000,2023,1,,
139999,2018,122000,Diesel,1968
58900,2017,204400,Diesel,1968
149834,2021,15423,Benzyna,1498
53000,2015,167500,Diesel,1968
17499,2007,293400,Diesel,1896
89900,2017,76000,Benzyna,1798
355300,2022,10,Diesel,1968
224500,2023,10,Benzyna,1498
159000,2019,77000,Benzyna,1984
39900,2014,278000,Diesel,1968
132000,2017,80000,Benzyna,1984
85900,2019,142000,Benzyna,1498
78990,2013,90345,Benzyna,1984
43900,2007,288741,Diesel,2461
25000,2001,338292,Diesel,1968
49900,2017,185000,Benzyna,1395
77000,2012,250969,Diesel,2967
47900,2009,168349,Benzyna,1984
56000,2016,159000,Benzyna,1395
35500,2008,234000,Diesel,1968
52890,2016,155000,Diesel,1968
82900,2017,86000,Diesel,1968
85900,2019,144000,Benzyna,1498
47900,2012,208460,Benzyna,1984
246900,2022,,,
16900,2006,188000,Benzyna,1390
36900,2012,182000,Diesel,1968
107900,2022,5,Benzyna,999
119900,2020,22000,Benzyna,1498
99900,2017,85597,Diesel,1968
28900,2011,175000,Diesel,1598
37900,2009,239100,Diesel,1968
69900,2017,164070,Benzyna,1798
6700,2007,208000,Benzyna,1198
96800,2016,72144,Benzyna,1798
94900,2017,107174,Diesel,1968
78900,2019,154400,Benzyna,1498
119000,2023,5,Benzyna,999
74900,2016,250000,Diesel,1968
60900,2015,96000,Benzyna,1395
85000,2018,53000,Benzyna,1984
60900,2016,184253,Diesel,1968
38900,2015,160000,Diesel,1968
29000,2003,258884,Benzyna,4172
26000,2008,230000,Diesel,1968
124900,2019,72300,Diesel,1968
19400,2009,136000,Benzyna,1390
40467,2016,129000,Benzyna,999
30500,2008,588000,Diesel,2461
65800,2016,29383,Benzyna,1395
60000,2014,317000,Diesel,1968
85000,2015,208828,Diesel,1968
59900,2012,213600,Diesel,1968
75000,2016,213000,Diesel,1968
31500,2009,227000,Diesel,1968
40000,2007,400095,Diesel,2500
12500,2004,307000,Diesel,1968
99999,2017,97713,Diesel,1968
37400,2009,256200,Diesel,1968
10900,2002,254000,Diesel,1896
64500,2013,260000,Diesel,1968
33900,2011,230000,Diesel,1598
264900,2022,6900,Benzyna,1984
93500,2018,62989,Benzyna,1984
56500,2017,229874,Benzyna,1984
54500,2018,124300,Diesel,1598
9400,2001,120000,Benzyna,1390
96900,2017,164000,Diesel,1968
79000,2015,205000,Diesel,1968
198900,2021,75600,Diesel,1968
74900,2016,249400,Benzyna,1798
24900,2011,199000,Benzyna,1390
3500,1994,277000,Diesel,1896
23900,1963,21600,Benzyna,1200
10800,2006,378000,Diesel,1896
205900,2022,,Benzyna,1984
22900,2014,168000,Benzyna,999
25500,2009,249000,Benzyna,1595
164910,2022,10,Benzyna,1498
109270,2022,10,Benzyna,999
217020,2023,10,,
244470,2022,1,Benzyna,1984
140960,2022,5,Benzyna,1498
266400,2023,10,Benzyna,1984
125570,2022,1,Benzyna,1498
188850,2022,1,Benzyna,1984
224760,2022,10,Benzyna,1984
12000,2007,385000,Diesel,1968
74500,2011,213990,Diesel,2967
71900,2016,187000,Diesel,1968
210735,2023,6,Diesel,2000
33300,2016,147620,Diesel,1422
263762,2022,1,Benzyna,1984
22800,2009,138597,Benzyna,1390
53500,2013,196080,Diesel,1968
65500,2017,134000,Benzyna,1395
126900,2017,75000,Diesel,1968
67900,2015,240000,Diesel,1968
26500,2023,204000,Diesel,1968
22900,2023,225000,Benzyna,1984
239900,2023,5,Benzyna,1984
462230,2023,,Diesel,2967
437360,2023,,Diesel,2976
456150,2023,,Diesel,2976
517900,2023,5,Diesel,2976
98900,2023,170000,Benzyna,1395
105900,2023,164799,Diesel,1968
113000,2023,1,Benzyna,1000
96800,2023,124105,Diesel,1968
134999,2023,102999,Diesel,1968
9500,2023,270000,Diesel,1422
20499,2023,330700,Diesel,1896
35000,2023,172000,Benzyna,1390
44500,2023,116874,Benzyna,999
41900,2023,260000,Diesel,2460
80000,2023,83072,Benzyna,1395
124900,2023,151000,Benzyna,1984
6500,2023,155400,Benzyna,1198
24500,2023,233000,Diesel,2496
48999,2023,210500,Diesel,1968
110000,2023,106000,Benzyna,1984
15900,2023,345000,Diesel,1968
34700,2023,179000,Diesel,1968
69800,2023,227000,Diesel,1968
29750,2023,253000,Diesel,1598
113000,2023,1,Benzyna,1000
129970,2023,1,Benzyna,1498
111000,2023,1,Benzyna,1000
69900,2023,178000,Diesel,1968
122000,2023,106438,Diesel,1968
206900,2023,103000,Diesel,2967
53990,2023,172944,Diesel,1598
25500,2023,271500,Diesel,1598
10900,2023,214000,Diesel,1896
63900,2023,277000,Diesel,1968
69900,2023,47300,Benzyna,1395
19500,2023,370000,Diesel,1896
79950,2023,102000,Diesel,1968
33500,2023,454000,Diesel,2461
98400,2023,310440,Diesel,1968
94800,2023,67088,Benzyna,1498
402650,2023,,Benzyna,2995
379900,2023,8,Diesel,2967
283600,2023,,Diesel,1968
31600,2023,203304,Diesel,1598
124800,2023,30549,Benzyna,1498
77900,2023,115000,Benzyna,1498
98999,2023,157480,Diesel,1968
152900,2023,89977,Diesel,1968
12900,2023,224200,Benzyna,1595
19777,2023,192000,Diesel,1598
124845,2023,177000,Diesel,1968
49999,2023,215000,Diesel,1968
44900,2023,180500,Diesel,1968
27900,2023,59000,Benzyna,999
14900,2023,134600,Benzyna,1390
32500,2023,323000,Diesel,2967
27900,2023,100000,Benzyna,1390
122900,2023,5,Benzyna,1498
50900,2023,113000,Benzyna,1984
67900,2023,186000,Diesel,1968
6900,2023,280000,Benzyna,1390
219900,2023,5,Diesel,1968
229010,2023,1,Benzyna,1984
25500,2023,72000,Benzyna,999
39500,2023,75641,Benzyna,1390
31000,2023,157000,Diesel,1968
52990,2023,228973,Diesel,1968
19900,2023,1852005,Benzyna,1198
49800,2023,140000,Diesel,1968
39900,2023,90000,Benzyna,1197
40467,2023,249000,Diesel,1968
133900,2023,77000,Diesel,1968
38900,2023,148534,Benzyna,1984
74900,2023,189000,Diesel,1968
149000,2023,16500,Benzyna,1984
221854,2023,1,Benzyna,1984
259900,2023,5,,
15900,2023,100000,Benzyna,1595
347954,2023,6,Hybryda,1400
79900,2023,98000,Benzyna,1498
59000,2023,139045,Diesel,1598
164900,2023,87000,Benzyna,3600
16900,2023,169245,Benzyna,1595
124900,2023,176000,Diesel,1968
23900,2023,226700,Diesel,1968
118900,2023,168000,Diesel,1968
182800,2023,98262,Diesel,1968
68900,2023,142000,Benzyna,1984
77900,2023,250000,Diesel,2967
20600,2023,288000,Diesel,2460
29900,2023,120400,Diesel,1422
11900,2023,242145,Diesel,1896
154800,2023,5,Benzyna,1498
220600,2023,5,Benzyna,1984
244700,2023,6,Benzyna,1984
150700,2023,5,Benzyna,1498
46900,2023,259800,Diesel,1968
16900,2023,289300,Diesel,1896
119000,2023,51000,Benzyna,1498
139000,2023,6500,Benzyna,1498
33000,2023,169527,Benzyna,1798
59500,2023,339000,Diesel,1968
72000,2023,148989,Diesel,1968
38999,2023,232560,Diesel,1598
61500,2023,239000,Diesel,1968
70000,2023,149971,Benzyna,1498
12900,2023,367000,Diesel,1896
93000,2023,58000,Benzyna,1395
38900,2023,176000,Benzyna,1984
15999,2023,267000,Diesel,1896
28900,2023,186000,Diesel,1968
129900,2023,3588,Diesel,1968
35900,2023,182000,Diesel,1968
30900,2023,205697,Diesel,1968
40000,2023,248576,Diesel,1968
82000,2023,68500,Diesel,1598
171500,2023,88900,Diesel,1968
15400,2023,133000,Diesel,1598
92900,2023,180000,Diesel,1968
